instance,Best,Avg,AvgT
SetB_25x10S5,49013,49013.0,0.14300000000000002
SetB_25x10S10,48672,48672.0,0.462
SetB_25x10S15,48407,48407.0,0.135
SetB_25x10S20,47926,47926.0,0.10300000000000001
SetB_25x10S30,47314,47314.0,0.21400000000000002
SetB_25x20S30,51523,51523.0,3.905
SetB_50x10S5,191040,191047.0,97.56199999999998
SetB_50x10S10,189116,189144.3,61.161
SetB_50x10S15,187256,187256.0,41.785999999999994
SetB_50x10S20,185970,185973.7,104.43199999999999
SetB_50x10S30,183145,183145.0,18.546
SetB_50x20S5,237373,237391.0,110.48499999999999
SetB_50x20S10,233209,233246.3,43.257000000000005
SetB_50x20S15,229241,229241.0,70.218
SetB_50x20S20,225999,226008.5,79.09599999999999
SetB_50x20S30,220239,220262.8,101.97299999999998
SetB_50x30S15,272454,272498.7,64.237
SetB_50x30S20,260923,260967.4,85.08399999999999
SetB_50x30S30,251950,251954.0,61.72700000000001
SetB_50x43S30,329115,329189.9,111.33300000000001
SetB_75x10S5,438544,438663.0,112.49599999999998
SetB_75x10S10,433790,434080.7,121.2181
SetB_75x10S15,429718,429884.2,104.28400000000002
SetB_75x10S20,426323,426502.9,80.453
SetB_75x10S30,419451,419540.5,79.62499999999999
SetB_75x20S5,527730,528274.2,96.27000000000001
SetB_75x20S10,519495,519814.1,114.34899999999998
SetB_75x20S15,511276,511437.9,93.314
SetB_75x20S20,503420,503639.6,95.495
SetB_75x20S30,490758,490999.1,108.31199999999998
SetB_75x30S10,628312,628805.7,109.83699999999999
SetB_75x30S15,610950,611564.4,139.86700000000002
SetB_75x30S20,597659,597970.4,135.7577
SetB_75x30S30,576237,576763.2,116.48000000000002
SetB_100x10S5,770586,771203.3,101.73400000000001
SetB_100x10S10,761619,762276.7,93.439
SetB_100x10S15,754363,754776.4,107.20450000000001
SetB_100x10S20,748336,748678.5,119.48499999999999
SetB_100x10S30,735735,736080.4,88.021
SetB_100x20S5,959720,961260.2,92.78
SetB_100x20S10,943948,944428.6,89.925
SetB_100x20S15,928949,929773.0,115.99099999999999
SetB_100x20S20,915060,915888.9,104.15399999999997
SetB_100x20S30,891177,891788.1,86.432
SetB_100x30S5,1150071,1151910.1,122.047
SetB_100x30S10,1124251,1125457.0,124.228
SetB_100x30S15,1100789,1101806.9,142.098
SetB_100x30S20,1080011,1081215.6,102.68499999999999
SetB_100x30S30,1042650,1043652.5,127.931
